date,pct_male,pct_female,pct_family,pct_single
2023-01-01,47.9,52.1,49.4,50.6
2023-01-02,47.4,52.6,45.6,54.4
2023-01-03,50.3,49.7,43.9,56.1
2023-01-04,48.6,51.4,44.8,55.2
2023-01-05,50.4,49.6,43.6,56.4
2023-01-06,50.7,49.3,45.3,54.7
2023-01-07,49.0,51.0,52.5,47.5
2023-01-08,49.1,50.9,50.9,49.1
2023-01-09,49.2,50.8,45.9,54.1
2023-01-10,48.5,51.5,42.5,57.5
2023-01-11,50.6,49.4,44.1,55.9
2023-01-12,49.7,50.3,45.6,54.4
2023-01-13,49.5,50.5,47.3,52.7
2023-01-14,50.4,49.6,50.6,49.4
2023-01-15,49.0,51.0,51.5,48.5
2023-01-16,50.9,49.1,45.1,54.9
2023-01-17,48.3,51.7,43.0,57.0
2023-01-18,49.7,50.3,44.7,55.3
2023-01-19,49.4,50.6,45.5,54.5
2023-01-20,50.2,49.8,43.6,56.4
2023-01-21,51.2,48.8,50.4,49.6
2023-01-22,49.7,50.3,50.7,49.3
2023-01-23,49.9,50.1,44.1,55.9
2023-01-24,49.9,50.1,45.2,54.8
2023-01-25,48.7,51.3,46.0,54.0
2023-01-26,51.0,49.0,46.8,53.2
2023-01-27,50.2,49.8,46.3,53.7
2023-01-28,51.1,48.9,51.5,48.5
2023-01-29,51.1,48.9,52.8,47.2
2023-01-30,49.6,50.4,45.8,54.2
2023-01-31,49.5,50.5,45.4,54.6
2023-02-01,50.5,49.5,46.4,53.6
2023-02-02,50.3,49.7,45.2,54.8
2023-02-03,51.0,49.0,46.0,54.0
2023-02-04,49.4,50.6,52.9,47.1
2023-02-05,50.2,49.8,51.7,48.3
2023-02-06,51.2,48.8,44.9,55.1
2023-02-07,50.6,49.4,46.9,53.1
2023-02-08,51.8,48.2,45.3,54.7
2023-02-09,49.7,50.3,43.9,56.1
2023-02-10,51.7,48.3,45.9,54.1
2023-02-11,50.1,49.9,50.7,49.3
2023-02-12,51.2,48.8,52.1,47.9
2023-02-13,52.0,48.0,47.6,52.4
2023-02-14,51.4,48.6,45.8,54.2
2023-02-15,52.4,47.6,47.6,52.4
2023-02-16,50.9,49.1,45.8,54.2
2023-02-17,52.5,47.5,45.9,54.1
2023-02-18,52.4,47.6,52.0,48.0
2023-02-19,52.1,47.9,53.8,46.2
2023-02-20,51.8,48.2,47.9,52.1
2023-02-21,50.7,49.3,46.5,53.5
2023-02-22,50.3,49.7,46.2,53.8
2023-02-23,50.8,49.2,46.6,53.4
2023-02-24,52.5,47.5,46.6,53.4
2023-02-25,50.5,49.5,54.2,45.8
2023-02-26,50.6,49.4,51.7,48.3
2023-02-27,53.1,46.9,48.7,51.3
2023-02-28,50.3,49.7,47.1,52.9
2023-03-01,52.8,47.2,45.3,54.7
2023-03-02,50.9,49.1,46.8,53.2
2023-03-03,51.0,49.0,46.8,53.2
2023-03-04,51.1,48.9,51.9,48.1
2023-03-05,50.8,49.2,53.6,46.4
2023-03-06,51.3,48.7,46.9,53.1
2023-03-07,51.4,48.6,46.6,53.4
2023-03-08,51.7,48.3,45.4,54.6
2023-03-09,53.2,46.8,47.9,52.1
2023-03-10,50.5,49.5,47.2,52.8
2023-03-11,50.4,49.6,53.2,46.8
2023-03-12,51.7,48.3,53.2,46.8
2023-03-13,52.4,47.6,49.2,50.8
2023-03-14,52.5,47.5,46.5,53.5
2023-03-15,50.5,49.5,47.9,52.1
2023-03-16,51.4,48.6,47.1,52.9
2023-03-17,51.9,48.1,47.6,52.4
2023-03-18,53.2,46.8,52.2,47.8
2023-03-19,51.9,48.1,52.8,47.2
2023-03-20,52.6,47.4,47.3,52.7
2023-03-21,53.8,46.2,48.2,51.8
2023-03-22,53.6,46.4,46.4,53.6
2023-03-23,52.9,47.1,48.6,51.4
2023-03-24,53.2,46.8,47.0,53.0
2023-03-25,51.0,49.0,52.7,47.3
2023-03-26,52.6,47.4,53.1,46.9
2023-03-27,53.3,46.7,47.5,52.5
2023-03-28,52.2,47.8,47.7,52.3
2023-03-29,52.5,47.5,45.7,54.3
2023-03-30,52.7,47.3,45.7,54.3
2023-03-31,51.8,48.2,47.2,52.8
2023-04-01,50.9,49.1,53.4,46.6
2023-04-02,51.6,48.4,52.3,47.7
2023-04-03,53.3,46.7,46.2,53.8
2023-04-04,50.9,49.1,46.7,53.3
2023-04-05,53.3,46.7,47.7,52.3
2023-04-06,51.2,48.8,47.4,52.6
2023-04-07,51.6,48.4,48.5,51.5
2023-04-08,50.8,49.2,54.0,46.0
2023-04-09,52.5,47.5,52.6,47.4
2023-04-10,52.4,47.6,49.3,50.7
2023-04-11,52.8,47.2,47.2,52.8
2023-04-12,51.3,48.7,48.3,51.7
2023-04-13,52.7,47.3,46.8,53.2
2023-04-14,53.1,46.9,48.3,51.7
2023-04-15,50.9,49.1,53.4,46.6
2023-04-16,51.3,48.7,53.1,46.9
2023-04-17,51.7,48.3,46.6,53.4
2023-04-18,52.9,47.1,45.8,54.2
2023-04-19,51.5,48.5,47.2,52.8
2023-04-20,50.2,49.8,48.7,51.3
2023-04-21,52.1,47.9,48.6,51.4
2023-04-22,53.1,46.9,54.9,45.1
2023-04-23,51.3,48.7,53.2,46.8
2023-04-24,50.8,49.2,49.2,50.8
2023-04-25,50.6,49.4,47.3,52.7
2023-04-26,51.6,48.4,47.8,52.2
2023-04-27,51.3,48.7,48.5,51.5
2023-04-28,52.4,47.6,48.1,51.9
2023-04-29,50.4,49.6,53.0,47.0
2023-04-30,52.3,47.7,54.7,45.3
2023-05-01,50.7,49.3,47.2,52.8
2023-05-02,52.1,47.9,46.3,53.7
2023-05-03,50.1,49.9,47.5,52.5
2023-05-04,51.0,49.0,47.4,52.6
2023-05-05,50.5,49.5,47.5,52.5
2023-05-06,52.4,47.6,55.3,44.7
2023-05-07,52.9,47.1,53.5,46.5
2023-05-08,51.4,48.6,48.3,51.7
2023-05-09,51.6,48.4,50.0,50.0
2023-05-10,50.9,49.1,48.2,51.8
2023-05-11,51.7,48.3,48.4,51.6
2023-05-12,49.4,50.6,47.5,52.5
2023-05-13,49.8,50.2,53.1,46.9
2023-05-14,53.5,46.5,54.3,45.7
2023-05-15,52.2,47.8,47.8,52.2
2023-05-16,50.5,49.5,47.4,52.6
2023-05-17,51.2,48.8,46.5,53.5
2023-05-18,50.1,49.9,47.8,52.2
2023-05-19,52.9,47.1,47.9,52.1
2023-05-20,51.4,48.6,54.0,46.0
2023-05-21,51.1,48.9,53.3,46.7
2023-05-22,50.7,49.3,49.0,51.0
2023-05-23,52.0,48.0,46.4,53.6
2023-05-24,50.0,50.0,48.5,51.5
2023-05-25,51.2,48.8,46.6,53.4
2023-05-26,50.5,49.5,48.8,51.2
2023-05-27,49.9,50.1,54.5,45.5
2023-05-28,51.4,48.6,53.4,46.6
2023-05-29,51.8,48.2,48.3,51.7
2023-05-30,51.2,48.8,48.4,51.6
2023-05-31,51.4,48.6,45.8,54.2
2023-06-01,49.3,50.7,47.4,52.6
2023-06-02,50.7,49.3,47.7,52.3
2023-06-03,50.9,49.1,55.2,44.8
2023-06-04,49.6,50.4,52.3,47.7
2023-06-05,49.1,50.9,46.4,53.6
2023-06-06,50.6,49.4,46.4,53.6
2023-06-07,50.0,50.0,48.7,51.3
2023-06-08,48.6,51.4,48.4,51.6
2023-06-09,50.0,50.0,46.1,53.9
2023-06-10,50.6,49.4,52.6,47.4
2023-06-11,47.9,52.1,55.8,44.2
2023-06-12,51.1,48.9,47.2,52.8
2023-06-13,49.9,50.1,48.3,51.7
2023-06-14,49.3,50.7,46.6,53.4
2023-06-15,49.0,51.0,47.1,52.9
2023-06-16,50.6,49.4,47.9,52.1
2023-06-17,48.8,51.2,53.5,46.5
2023-06-18,49.2,50.8,54.3,45.7
2023-06-19,48.7,51.3,45.5,54.5
2023-06-20,50.1,49.9,47.8,52.2
2023-06-21,48.1,51.9,48.5,51.5
2023-06-22,51.2,48.8,47.2,52.8
2023-06-23,48.2,51.8,48.1,51.9
2023-06-24,49.4,50.6,53.2,46.8
2023-06-25,48.3,51.7,52.3,47.7
2023-06-26,50.5,49.5,47.4,52.6
2023-06-27,48.9,51.1,47.8,52.2
2023-06-28,49.2,50.8,46.8,53.2
2023-06-29,48.5,51.5,47.5,52.5
2023-06-30,48.7,51.3,46.4,53.6
2023-07-01,48.9,51.1,53.6,46.4
2023-07-02,48.3,51.7,53.1,46.9
2023-07-03,50.9,49.1,48.8,51.2
2023-07-04,48.9,51.1,47.0,53.0
2023-07-05,48.3,51.7,46.7,53.3
2023-07-06,48.6,51.4,46.3,53.7
2023-07-07,48.9,51.1,45.4,54.6
2023-07-08,49.2,50.8,51.9,48.1
2023-07-09,49.3,50.7,52.4,47.6
2023-07-10,47.3,52.7,46.3,53.7
2023-07-11,49.4,50.6,48.2,51.8
2023-07-12,48.8,51.2,46.7,53.3
2023-07-13,49.0,51.0,45.6,54.4
2023-07-14,49.4,50.6,47.0,53.0
2023-07-15,47.9,52.1,52.7,47.3
2023-07-16,48.3,51.7,55.4,44.6
2023-07-17,45.7,54.3,47.0,53.0
2023-07-18,48.0,52.0,47.1,52.9
2023-07-19,48.3,51.7,45.9,54.1
2023-07-20,48.2,51.8,47.6,52.4
2023-07-21,47.7,52.3,45.6,54.4
2023-07-22,47.6,52.4,53.7,46.3
2023-07-23,47.1,52.9,54.1,45.9
2023-07-24,47.2,52.8,47.1,52.9
2023-07-25,48.6,51.4,46.3,53.7
2023-07-26,47.3,52.7,48.6,51.4
2023-07-27,47.0,53.0,45.7,54.3
2023-07-28,48.7,51.3,47.4,52.6
2023-07-29,47.9,52.1,52.2,47.8
2023-07-30,46.9,53.1,52.3,47.7
2023-07-31,48.1,51.9,45.4,54.6
2023-08-01,48.6,51.4,46.8,53.2
2023-08-02,46.6,53.4,46.8,53.2
2023-08-03,46.1,53.9,46.7,53.3
2023-08-04,48.7,51.3,47.0,53.0
2023-08-05,45.7,54.3,53.3,46.7
2023-08-06,45.5,54.5,51.4,48.6
2023-08-07,47.0,53.0,45.1,54.9
2023-08-08,47.6,52.4,46.2,53.8
2023-08-09,47.4,52.6,47.4,52.6
2023-08-10,47.0,53.0,45.5,54.5
2023-08-11,49.6,50.4,45.9,54.1
2023-08-12,46.8,53.2,51.9,48.1
2023-08-13,46.0,54.0,49.7,50.3
2023-08-14,46.4,53.6,45.3,54.7
2023-08-15,47.1,52.9,44.4,55.6
2023-08-16,47.4,52.6,46.0,54.0
2023-08-17,46.5,53.5,46.4,53.6
2023-08-18,46.2,53.8,45.6,54.4
2023-08-19,46.0,54.0,50.7,49.3
2023-08-20,46.6,53.4,52.4,47.6
2023-08-21,47.0,53.0,46.0,54.0
2023-08-22,46.2,53.8,45.5,54.5
2023-08-23,47.8,52.2,45.9,54.1
2023-08-24,46.7,53.3,47.6,52.4
2023-08-25,46.2,53.8,45.6,54.4
2023-08-26,47.1,52.9,51.5,48.5
2023-08-27,45.9,54.1,50.4,49.6
2023-08-28,47.4,52.6,44.7,55.3
2023-08-29,45.0,55.0,46.2,53.8
2023-08-30,46.5,53.5,43.9,56.1
2023-08-31,45.3,54.7,47.5,52.5
2023-09-01,46.0,54.0,45.1,54.9
2023-09-02,46.9,53.1,50.7,49.3
2023-09-03,47.1,52.9,50.9,49.1
2023-09-04,46.0,54.0,46.0,54.0
2023-09-05,45.5,54.5,45.3,54.7
2023-09-06,45.8,54.2,44.9,55.1
2023-09-07,46.3,53.7,43.7,56.3
2023-09-08,46.7,53.3,44.7,55.3
2023-09-09,47.2,52.8,51.0,49.0
2023-09-10,47.2,52.8,52.6,47.4
2023-09-11,47.1,52.9,44.1,55.9
2023-09-12,45.9,54.1,44.0,56.0
2023-09-13,46.5,53.5,45.4,54.6
2023-09-14,47.1,52.9,44.6,55.4
2023-09-15,46.8,53.2,45.5,54.5
2023-09-16,45.4,54.6,50.6,49.4
2023-09-17,45.8,54.2,51.8,48.2
2023-09-18,45.3,54.7,45.3,54.7
2023-09-19,46.8,53.2,44.3,55.7
2023-09-20,44.9,55.1,44.5,55.5
2023-09-21,46.1,53.9,44.9,55.1
2023-09-22,44.9,55.1,44.5,55.5
2023-09-23,46.1,53.9,48.4,51.6
2023-09-24,46.9,53.1,51.5,48.5
2023-09-25,47.3,52.7,44.6,55.4
2023-09-26,44.8,55.2,45.4,54.6
2023-09-27,47.1,52.9,44.4,55.6
2023-09-28,45.2,54.8,45.7,54.3
2023-09-29,45.5,54.5,43.8,56.2
2023-09-30,45.9,54.1,49.9,50.1
2023-10-01,47.0,53.0,48.8,51.2
2023-10-02,45.0,55.0,44.7,55.3
2023-10-03,45.5,54.5,43.8,56.2
2023-10-04,45.2,54.8,43.6,56.4
2023-10-05,45.1,54.9,44.7,55.3
2023-10-06,45.2,54.8,45.0,55.0
2023-10-07,47.3,52.7,51.0,49.0
2023-10-08,47.0,53.0,50.7,49.3
2023-10-09,44.8,55.2,42.6,57.4
2023-10-10,45.6,54.4,44.5,55.5
2023-10-11,45.9,54.1,44.1,55.9
2023-10-12,46.2,53.8,43.9,56.1
2023-10-13,47.4,52.6,43.6,56.4
2023-10-14,41.9,58.1,48.9,51.1
2023-10-15,47.4,52.6,52.5,47.5
2023-10-16,47.0,53.0,44.8,55.2
2023-10-17,46.7,53.3,43.0,57.0
2023-10-18,46.4,53.6,45.5,54.5
2023-10-19,46.1,53.9,45.7,54.3
2023-10-20,47.3,52.7,43.7,56.3
2023-10-21,46.0,54.0,50.6,49.4
2023-10-22,47.1,52.9,48.5,51.5
2023-10-23,44.1,55.9,44.5,55.5
2023-10-24,47.5,52.5,45.2,54.8
2023-10-25,45.2,54.8,43.9,56.1
2023-10-26,47.2,52.8,45.3,54.7
2023-10-27,47.2,52.8,43.7,56.3
2023-10-28,46.6,53.4,48.6,51.4
2023-10-29,45.7,54.3,49.1,50.9
2023-10-30,45.6,54.4,44.0,56.0
2023-10-31,47.1,52.9,44.0,56.0
2023-11-01,45.8,54.2,44.6,55.4
2023-11-02,44.7,55.3,44.1,55.9
2023-11-03,46.1,53.9,44.6,55.4
2023-11-04,46.1,53.9,52.4,47.6
2023-11-05,46.8,53.2,49.0,51.0
2023-11-06,45.6,54.4,44.3,55.7
2023-11-07,46.3,53.7,41.9,58.1
2023-11-08,46.1,53.9,45.0,55.0
2023-11-09,48.0,52.0,43.5,56.5
2023-11-10,47.5,52.5,42.3,57.7
2023-11-11,46.7,53.3,50.6,49.4
2023-11-12,45.0,55.0,48.6,51.4
2023-11-13,48.0,52.0,44.1,55.9
2023-11-14,47.8,52.2,43.5,56.5
2023-11-15,47.7,52.3,45.6,54.4
2023-11-16,47.1,52.9,44.6,55.4
2023-11-17,46.2,53.8,46.0,54.0
2023-11-18,45.0,55.0,50.4,49.6
2023-11-19,47.0,53.0,48.0,52.0
2023-11-20,48.0,52.0,44.9,55.1
2023-11-21,45.7,54.3,44.8,55.2
2023-11-22,45.2,54.8,43.3,56.7
2023-11-23,46.7,53.3,43.5,56.5
2023-11-24,46.2,53.8,43.2,56.8
2023-11-25,47.4,52.6,51.9,48.1
2023-11-26,47.8,52.2,49.8,50.2
2023-11-27,47.0,53.0,43.1,56.9
2023-11-28,48.0,52.0,43.5,56.5
2023-11-29,47.5,52.5,43.8,56.2
2023-11-30,47.7,52.3,42.9,57.1
2023-12-01,47.1,52.9,44.2,55.8
2023-12-02,48.4,51.6,48.4,51.6
2023-12-03,46.5,53.5,50.8,49.2
2023-12-04,46.5,53.5,46.4,53.6
2023-12-05,47.6,52.4,41.8,58.2
2023-12-06,48.1,51.9,46.4,53.6
2023-12-07,46.0,54.0,42.5,57.5
2023-12-08,48.1,51.9,44.9,55.1
2023-12-09,47.7,52.3,48.6,51.4
2023-12-10,48.2,51.8,50.7,49.3
2023-12-11,47.1,52.9,45.1,54.9
2023-12-12,49.5,50.5,42.7,57.3
2023-12-13,47.9,52.1,43.7,56.3
2023-12-14,48.5,51.5,44.5,55.5
2023-12-15,47.2,52.8,44.4,55.6
2023-12-16,50.4,49.6,51.4,48.6
2023-12-17,47.2,52.8,51.1,48.9
2023-12-18,47.4,52.6,45.5,54.5
2023-12-19,48.2,51.8,43.5,56.5
2023-12-20,48.7,51.3,43.2,56.8
2023-12-21,48.9,51.1,43.0,57.0
2023-12-22,48.2,51.8,45.2,54.8
2023-12-23,50.3,49.7,50.7,49.3
2023-12-24,49.6,50.4,49.6,50.4
2023-12-25,47.7,52.3,44.9,55.1
2023-12-26,47.2,52.8,43.5,56.5
2023-12-27,49.1,50.9,45.0,55.0
2023-12-28,48.8,51.2,44.5,55.5
2023-12-29,48.1,51.9,43.5,56.5
2023-12-30,50.2,49.8,49.9,50.1
